Gameplay footage/gameplaymovie.avi	gitignored capture output; project.godot's movie_writer key is repointed to dev/recordings/
Sprite folders grab bag/siege_firing.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/siege_firing.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/siege_idle.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/siege_idle.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/siege_wall_onfire.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/siege_wall_onfire.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skeleton shade_attacking.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skeleton shade_attacking.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skeleton shade_dying.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skeleton shade_dying.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skeleton shade_walking.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skeleton shade_walking.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skull_pirate.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skull_pirate.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skull_pirate2.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skull_pirate2.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skulls.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/skulls.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stone_stairs.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stone_stairs.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_6.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_6.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_cage.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_cage.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_grate1.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_grate1.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_grate2.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_grate2.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_grate3.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/stonefloor_grate3.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/sword_statue1.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/sword_statue1.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/sword_statue2.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/sword_statue2.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/sword_statue3.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/sword_statue3.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/treeentmassive.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/treeentmassive.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_barrel.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_barrel.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_crate1.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_crate1.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_crate2.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_crate2.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_crate3.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/wooden_crate3.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
archive/orphaned_scripts/whaelers_drake.gd	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/orphaned_scripts/whaelers_drake.gd.uid	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/bandit_bounty_note.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/destroy_goblin_totem.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/dungeon_clear.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/gather_intel.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/journey_to_kazandun.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/kill_goblins.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/knight_intro.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/prove_yourself.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/report_to_knight.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/report_to_nathan.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/road_to_dalhurst.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/road_to_thornfield.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/scout_the_cave.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/test_dungeon_quest.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/thin_the_herd.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/quests/legacy/willow_dale_investigation.json	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/unused_assets/4x4flickeringtorch.png	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/unused_assets/4x4flickeringtorch.png.import	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/unused_assets/torch_4x4.png	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
archive/unused_assets/torch_4x4.png.import	17 legacy quest JSONs QuestManager never walks, 1 orphaned script, 2 unused PNGs; every uid greps to 0 hits outside itself and every file has git history
resources/projectiles/goblin_bolt.tres	0 references by filename, stem or uid; the header carries no uid= at all
scenes/levels/modular house blocks 1.glb	byte-identical duplicate; uid unreferenced
scenes/levels/modular house blocks 1.glb.import	byte-identical duplicate; uid unreferenced
scenes/levels/modular house blocks 2.glb	byte-identical duplicate; uid unreferenced
scenes/levels/modular house blocks 2.glb.import	byte-identical duplicate; uid unreferenced
scenes/levels/modular house blocks.glb	byte-identical to assets/models/buildings/modular_house_blocks.glb; its uid greps to 0 hits outside its own .import
scenes/levels/modular house blocks.glb.import	byte-identical to assets/models/buildings/modular_house_blocks.glb; its uid greps to 0 hits outside its own .import
scripts/generation/daggerfall_terrain.gd	dead on arrival, flagged 8/1; zero references
scripts/generation/daggerfall_terrain.gd.uid	dead on arrival, flagged 8/1; zero references
scripts/player/player.tscn	stub scene, zero references; the live player is scenes/player/player.tscn
